ID,class,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color
1962,e,t,e,s,f,w,w,p,w,o,e,k
1963,e,t,b,s,s,g,g,p,w,o,p,k
1964,e,t,e,f,s,w,w,p,w,o,e,n
1965,e,t,e,f,f,w,w,p,w,o,e,n
1966,e,t,e,s,s,w,w,p,w,o,e,k
1967,e,t,b,s,s,w,g,p,w,o,p,n
1968,e,t,e,f,f,w,w,p,w,o,e,k
1969,e,t,b,s,s,p,p,p,w,o,p,n
1970,e,t,e,s,s,w,w,p,w,o,e,k
1971,e,t,e,f,f,w,w,p,w,o,e,k
1972,e,t,e,s,f,w,w,p,w,o,e,n
1973,p,e,e,s,s,w,w,p,w,o,p,k
1974,e,t,b,s,s,w,w,p,w,o,p,k
1975,e,t,e,f,s,w,w,p,w,o,e,n
1976,p,e,e,s,s,w,w,p,w,o,p,n
1977,e,t,b,s,s,p,g,p,w,o,p,n
1978,e,t,b,s,s,w,p,p,w,o,p,n
1979,e,t,e,f,f,w,w,p,w,o,e,n
1980,e,t,b,s,s,g,g,p,w,o,p,k
1981,e,t,e,s,s,w,w,p,w,o,e,n
1982,e,t,e,f,f,w,w,p,w,o,e,k
1983,e,e,c,s,s,w,w,p,w,o,p,k
1984,e,t,e,f,s,w,w,p,w,o,e,n
1985,e,t,b,s,s,p,g,p,w,o,p,n
1986,e,t,b,s,s,g,w,p,w,o,p,k
1987,e,t,e,f,s,w,w,p,w,o,e,n
1988,p,e,e,s,s,w,w,p,w,o,p,n
1989,e,t,b,s,s,w,p,p,w,o,p,n
1990,p,e,e,s,s,w,w,p,w,o,p,k
1991,p,e,e,s,s,w,w,p,w,o,p,n
1992,e,t,b,s,s,p,p,p,w,o,p,n
1993,e,t,e,s,f,w,w,p,w,o,e,n
1994,e,t,b,s,s,g,w,p,w,o,p,n
1995,e,t,e,s,f,w,w,p,w,o,e,k
1996,e,t,b,s,s,p,g,p,w,o,p,n
1997,e,t,e,f,s,w,w,p,w,o,e,n
1998,e,t,e,s,f,w,w,p,w,o,e,k
1999,e,t,e,f,f,w,w,p,w,o,e,k
2000,e,t,e,s,f,w,w,p,w,o,e,k
2001,e,t,b,s,s,g,g,p,w,o,p,n
2002,e,t,b,s,s,g,w,p,w,o,p,n
2003,e,t,e,f,f,w,w,p,w,o,e,k
2004,e,t,b,s,s,g,g,p,w,o,p,k
2005,p,e,e,s,s,w,w,p,w,o,p,n
2006,e,e,r,s,y,w,w,p,w,o,p,n
2007,p,e,e,s,s,w,w,p,w,o,p,k
2008,e,t,e,f,s,w,w,p,w,o,e,n
2009,e,t,e,f,f,w,w,p,w,o,e,k
2010,p,e,e,s,s,w,w,p,w,o,p,n
2011,e,t,e,f,f,w,w,p,w,o,e,n
2012,e,t,e,s,f,w,w,p,w,o,e,k
2013,e,t,b,s,s,g,w,p,w,o,p,k
2014,e,t,e,s,s,w,w,p,w,o,e,k
2015,e,t,e,s,s,w,w,p,w,o,e,n
2016,e,t,e,f,s,w,w,p,w,o,e,n
2017,e,t,e,f,s,w,w,p,w,o,e,k
2018,e,t,b,s,s,w,w,p,w,o,p,n
2019,e,t,b,s,s,w,w,p,w,o,p,n
2020,e,t,e,s,f,w,w,p,w,o,e,n
2021,e,t,b,s,s,w,w,p,w,o,p,n
2022,e,t,b,s,s,g,p,p,w,o,p,k
2023,e,t,b,s,s,w,g,p,w,o,p,n
2024,e,t,e,s,f,w,w,p,w,o,e,k
2025,e,t,b,s,s,w,w,p,w,o,p,n
2026,e,t,b,s,s,p,p,p,w,o,p,k
2027,e,t,e,f,s,w,w,p,w,o,e,k
2028,e,t,b,s,s,w,p,p,w,o,p,n
2029,e,t,e,f,f,w,w,p,w,o,e,k
2030,e,e,c,s,s,w,w,p,w,o,p,k
2031,e,t,b,s,s,w,p,p,w,o,p,k
2032,e,t,e,s,f,w,w,p,w,o,e,n
2033,e,t,b,s,s,p,p,p,w,o,p,k
2034,e,t,b,s,s,g,g,p,w,o,p,k
2035,e,t,b,s,s,p,g,p,w,o,p,k
2036,e,t,e,s,s,w,w,p,w,o,e,n
2037,e,t,e,f,s,w,w,p,w,o,e,k
2038,e,t,e,f,f,w,w,p,w,o,e,n
2039,e,t,e,s,s,w,w,p,w,o,e,k
2040,e,t,b,s,s,w,p,p,w,o,p,k
2041,e,t,b,s,s,p,w,p,w,o,p,n
2042,e,t,b,s,s,p,w,p,w,o,p,k
2043,e,t,e,f,f,w,w,p,w,o,e,n
2044,e,t,e,s,f,w,w,p,w,o,e,n
2045,e,t,e,s,s,w,w,p,w,o,e,k
2046,e,e,r,s,y,w,w,p,w,o,p,n
2047,e,t,b,s,s,w,p,p,w,o,p,n
2048,e,t,e,f,s,w,w,p,w,o,e,k
2049,e,t,b,s,s,w,g,p,w,o,p,k
2050,e,t,b,s,s,w,p,p,w,o,p,n
2051,e,t,e,f,s,w,w,p,w,o,e,n
2052,e,e,c,s,s,w,w,p,w,o,p,k
2053,e,t,e,s,s,w,w,p,w,o,e,n
2054,e,t,e,s,s,w,w,p,w,o,e,n
2055,e,t,b,s,s,g,w,p,w,o,p,n
2056,e,t,e,f,f,w,w,p,w,o,e,k
2057,e,t,b,s,s,g,p,p,w,o,p,n
2058,e,t,b,s,s,w,g,p,w,o,p,n
2059,e,t,e,s,f,w,w,p,w,o,e,n
2060,e,e,c,s,s,w,w,p,w,o,p,k
2061,e,t,e,f,s,w,w,p,w,o,e,n
2062,p,e,e,s,s,w,w,p,w,o,p,n
2063,e,t,e,f,s,w,w,p,w,o,e,n
2064,e,t,b,s,s,p,w,p,w,o,p,n
2065,e,t,e,s,f,w,w,p,w,o,e,n
2066,e,t,b,s,s,p,w,p,w,o,p,k
2067,e,t,b,s,s,p,p,p,w,o,p,n
2068,p,e,e,s,s,w,w,p,w,o,p,k
2069,e,t,e,s,s,w,w,p,w,o,e,n
2070,e,t,b,s,s,w,g,p,w,o,p,k
2071,e,t,b,s,s,g,p,p,w,o,p,k
2072,e,t,b,s,s,w,g,p,w,o,p,k
2073,e,t,b,s,s,p,p,p,w,o,p,n
2074,e,t,b,s,s,p,g,p,w,o,p,k
2075,p,e,e,s,s,w,w,p,w,o,p,n
2076,e,e,c,s,s,w,w,p,w,o,p,k
2077,e,t,b,s,s,p,p,p,w,o,p,n
2078,e,t,b,s,s,w,w,p,w,o,p,n
2079,e,t,e,f,f,w,w,p,w,o,e,n
2080,e,t,b,s,s,w,p,p,w,o,p,n
2081,e,t,e,f,s,w,w,p,w,o,e,n
2082,e,t,e,f,s,w,w,p,w,o,e,n
2083,e,t,b,s,s,g,g,p,w,o,p,n
2084,e,t,b,s,s,w,p,p,w,o,p,n
2085,e,t,e,s,f,w,w,p,w,o,e,k
2086,e,t,e,s,s,w,w,p,w,o,e,k
2087,e,t,e,f,f,w,w,p,w,o,e,n
2088,e,t,b,s,s,g,w,p,w,o,p,k
2089,e,t,b,s,s,p,g,p,w,o,p,n
2090,p,e,e,s,s,w,w,p,w,o,p,k
2091,e,t,b,s,s,g,g,p,w,o,p,k
2092,e,t,e,s,f,w,w,p,w,o,e,n
2093,e,e,c,s,s,w,w,p,w,o,p,n
2094,e,t,e,f,f,w,w,p,w,o,e,n
2095,e,t,e,f,f,w,w,p,w,o,e,k
2096,e,t,b,s,s,g,w,p,w,o,p,k
2097,e,t,b,s,s,w,w,p,w,o,p,n
2098,e,t,e,f,s,w,w,p,w,o,e,k
2099,p,e,e,s,s,w,w,p,w,o,p,k
2100,e,t,e,s,s,w,w,p,w,o,e,n
2101,e,t,b,s,s,w,g,p,w,o,p,k
2102,e,t,b,s,s,w,w,p,w,o,p,n
2103,e,t,b,s,s,p,w,p,w,o,p,n
2104,e,t,b,s,s,p,g,p,w,o,p,n
2105,e,t,b,s,s,g,p,p,w,o,p,n
2106,e,t,b,s,s,g,g,p,w,o,p,k
2107,e,t,b,s,s,w,w,p,w,o,p,n
2108,e,t,b,s,s,p,p,p,w,o,p,k
2109,e,t,b,s,s,p,w,p,w,o,p,k
2110,e,t,b,s,s,w,w,p,w,o,p,k
2111,e,t,b,s,s,g,w,p,w,o,p,k
2112,e,t,b,s,s,g,p,p,w,o,p,n
2113,p,e,e,s,s,w,w,p,w,o,p,n
2114,e,t,b,s,s,p,g,p,w,o,p,n
2115,e,t,b,s,s,w,w,p,w,o,p,k
2116,e,t,b,s,s,g,g,p,w,o,p,n
2117,e,t,b,s,s,w,g,p,w,o,p,k
2118,e,t,b,s,s,g,p,p,w,o,p,k
2119,e,t,b,s,s,p,p,p,w,o,p,k
2120,e,t,b,s,s,g,w,p,w,o,p,k
2121,e,t,b,s,s,w,w,p,w,o,p,n
2122,e,t,b,s,s,w,w,p,w,o,p,n
2123,e,t,b,s,s,g,p,p,w,o,p,k
2124,e,t,b,s,s,w,p,p,w,o,p,k
2125,e,t,b,s,s,p,p,p,w,o,p,k
2126,e,t,b,s,s,p,g,p,w,o,p,n
2127,e,t,b,s,s,g,g,p,w,o,p,n
2128,e,t,b,s,s,w,p,p,w,o,p,k
2129,p,e,b,k,k,b,b,p,w,o,l,h
2130,p,e,e,s,s,w,w,p,w,o,p,k
2131,e,t,b,s,s,p,w,p,w,o,p,k
2132,e,t,e,s,s,w,w,p,w,o,e,n
2133,e,t,b,s,s,g,w,p,w,o,p,n
2134,e,t,b,s,s,g,w,p,w,o,p,n
2135,e,t,b,s,s,p,g,p,w,o,p,n
2136,e,t,b,s,s,p,w,p,w,o,p,n
2137,e,t,b,s,s,g,w,p,w,o,p,n
2138,e,t,b,s,s,w,p,p,w,o,p,k
2139,e,t,b,s,s,w,g,p,w,o,p,n
2140,e,t,b,s,s,p,g,p,w,o,p,k
2141,e,t,b,s,s,p,w,p,w,o,p,k
2142,e,t,b,s,s,w,g,p,w,o,p,k
2143,e,t,b,s,s,p,w,p,w,o,p,n
2144,e,t,b,s,s,w,w,p,w,o,p,k
2145,e,t,b,s,s,w,g,p,w,o,p,n
2146,e,t,b,s,s,p,w,p,w,o,p,k
2147,e,t,b,s,s,g,g,p,w,o,p,n
2148,p,e,e,s,s,w,w,p,w,o,p,n
2149,e,t,b,s,s,w,w,p,w,o,p,n
2150,p,e,e,s,s,w,w,p,w,o,p,k
2151,e,t,b,s,s,g,p,p,w,o,p,k
2152,e,t,b,s,s,g,g,p,w,o,p,k
2153,e,t,b,s,s,p,g,p,w,o,p,n
2154,e,t,b,s,s,w,g,p,w,o,p,n
2155,e,t,b,s,s,w,g,p,w,o,p,n
2156,e,t,b,s,s,g,p,p,w,o,p,n
2157,e,t,b,s,s,p,g,p,w,o,p,n
2158,e,t,b,s,s,w,g,p,w,o,p,n
2159,e,t,b,s,s,p,p,p,w,o,p,n
2160,e,t,b,s,s,w,g,p,w,o,p,k
2161,e,t,b,s,s,w,g,p,w,o,p,k
2162,e,t,b,s,s,g,w,p,w,o,p,n
2163,e,t,b,s,s,g,p,p,w,o,p,k
2164,e,t,b,s,s,w,p,p,w,o,p,k
2165,e,t,b,s,s,w,p,p,w,o,p,n
2166,e,t,b,s,s,w,p,p,w,o,p,n
2167,e,t,b,s,s,p,w,p,w,o,p,n
2168,e,t,b,s,s,p,g,p,w,o,p,k
2169,e,t,b,s,s,g,g,p,w,o,p,k
2170,e,t,b,s,s,p,g,p,w,o,p,n
2171,e,t,b,s,s,g,p,p,w,o,p,k
2172,e,t,b,s,s,g,g,p,w,o,p,n
2173,e,t,b,s,s,g,g,p,w,o,p,n
2174,e,t,b,s,s,g,w,p,w,o,p,k
2175,e,t,b,s,s,w,g,p,w,o,p,n
2176,e,t,b,s,s,w,p,p,w,o,p,k
2177,e,t,b,s,s,g,w,p,w,o,p,k
2178,e,t,b,s,s,w,w,p,w,o,p,n
2179,p,e,b,k,k,n,p,p,w,o,l,h
2180,e,t,b,s,s,p,w,p,w,o,p,k
2181,e,t,b,s,s,p,g,p,w,o,p,n
2182,e,t,b,s,s,g,p,p,w,o,p,n
2183,e,t,b,s,s,g,w,p,w,o,p,n
2184,e,t,b,s,s,g,p,p,w,o,p,k
2185,e,t,b,s,s,g,g,p,w,o,p,k
2186,e,t,b,s,s,w,g,p,w,o,p,k
2187,e,t,b,s,s,w,p,p,w,o,p,k
2188,e,t,b,s,s,p,w,p,w,o,p,k
2189,e,t,b,s,s,g,p,p,w,o,p,k
2190,e,t,b,s,s,g,w,p,w,o,p,n
2191,e,t,b,s,s,p,w,p,w,o,p,k
2192,e,t,b,s,s,w,g,p,w,o,p,k
2193,e,t,e,s,s,w,w,p,w,o,e,n
2194,e,t,b,s,s,p,g,p,w,o,p,k
2195,e,t,b,s,s,p,g,p,w,o,p,k
2196,e,t,b,s,s,g,w,p,w,o,p,n
2197,e,t,b,s,s,g,p,p,w,o,p,k
2198,e,t,b,s,s,w,p,p,w,o,p,k
2199,e,t,b,s,s,p,p,p,w,o,p,n
2200,e,t,b,s,s,w,p,p,w,o,p,n
2201,e,t,e,s,f,w,w,p,w,o,e,n
2202,e,t,b,s,s,g,w,p,w,o,p,n
2203,e,t,b,s,s,p,p,p,w,o,p,k
2204,e,t,b,s,s,g,g,p,w,o,p,k
2205,e,t,b,s,s,w,w,p,w,o,p,k
2206,e,t,b,s,s,w,w,p,w,o,p,n
2207,e,t,b,s,s,g,p,p,w,o,p,k
2208,e,t,b,s,s,g,p,p,w,o,p,k
2209,e,t,b,s,s,w,w,p,w,o,p,k
2210,e,t,b,s,s,p,p,p,w,o,p,n
2211,p,e,b,s,s,w,w,p,w,o,p,n
2212,e,t,b,s,s,g,p,p,w,o,p,n
2213,e,t,b,s,s,p,w,p,w,o,p,k
2214,e,t,b,s,s,w,p,p,w,o,p,k
2215,e,t,b,s,s,p,w,p,w,o,p,n
2216,e,t,b,s,s,w,g,p,w,o,p,n
2217,e,t,b,s,s,g,w,p,w,o,p,n
2218,e,t,b,s,s,g,w,p,w,o,p,n
2219,e,t,b,s,s,p,w,p,w,o,p,k
2220,e,t,b,s,s,p,w,p,w,o,p,k
2221,e,t,b,s,s,p,w,p,w,o,p,n
2222,e,t,b,s,s,w,p,p,w,o,p,k
2223,e,t,b,s,s,w,w,p,w,o,p,n
2224,e,t,b,s,s,g,g,p,w,o,p,n
2225,e,t,b,s,s,p,g,p,w,o,p,n
2226,e,t,b,s,s,w,p,p,w,o,p,k
2227,e,t,b,s,s,p,p,p,w,o,p,n
2228,e,t,e,f,f,w,w,p,w,o,e,n
2229,e,t,b,s,s,g,g,p,w,o,p,k
2230,e,t,b,s,s,g,w,p,w,o,p,k
2231,e,t,b,s,s,p,w,p,w,o,p,n
2232,e,t,b,s,s,w,p,p,w,o,p,k
2233,e,t,b,s,s,w,w,p,w,o,p,n
2234,e,t,b,s,s,w,g,p,w,o,p,n
2235,e,t,b,s,s,p,g,p,w,o,p,k
2236,e,t,b,s,s,p,w,p,w,o,p,k
2237,e,t,b,s,s,w,g,p,w,o,p,n
2238,e,t,e,s,f,w,w,p,w,o,e,k
2239,p,e,b,k,k,b,p,p,w,o,l,h
2240,e,t,b,s,s,g,w,p,w,o,p,k
2241,e,t,b,s,s,w,g,p,w,o,p,n
2242,p,e,e,s,s,w,w,p,w,o,p,k
2243,e,t,b,s,s,w,w,p,w,o,p,k
2244,e,t,b,s,s,p,w,p,w,o,p,n
2245,e,t,b,s,s,p,g,p,w,o,p,k
2246,e,t,b,s,s,g,w,p,w,o,p,k
2247,e,t,b,s,s,g,p,p,w,o,p,n
2248,e,t,e,f,f,w,w,p,w,o,e,n
2249,e,t,b,s,s,g,w,p,w,o,p,n
2250,e,t,b,s,s,g,w,p,w,o,p,k
2251,e,t,b,s,s,g,g,p,w,o,p,n
2252,e,t,b,s,s,g,p,p,w,o,p,k
2253,e,t,e,f,f,w,w,p,w,o,e,n
2254,e,t,b,s,s,p,w,p,w,o,p,n
2255,e,t,b,s,s,w,w,p,w,o,p,k
2256,e,t,b,s,s,p,p,p,w,o,p,k
2257,e,t,b,s,s,w,w,p,w,o,p,n
2258,e,t,b,s,s,p,g,p,w,o,p,n
2259,e,t,b,s,s,p,w,p,w,o,p,n
2260,e,t,b,s,s,p,p,p,w,o,p,n
2261,e,t,e,f,s,w,w,p,w,o,e,n
2262,e,t,b,s,s,w,p,p,w,o,p,k
2263,e,t,b,s,s,w,g,p,w,o,p,k
2264,e,t,b,s,s,p,p,p,w,o,p,n
2265,e,t,b,s,s,p,g,p,w,o,p,k
2266,e,t,b,s,s,p,w,p,w,o,p,k
2267,e,t,e,s,f,w,w,p,w,o,e,k
2268,e,t,b,s,s,g,g,p,w,o,p,n
2269,e,t,b,s,s,w,w,p,w,o,p,k
2270,e,t,b,s,s,p,g,p,w,o,p,n
2271,e,t,b,s,s,p,w,p,w,o,p,n
2272,e,t,e,s,f,w,w,p,w,o,e,k
2273,e,t,b,s,s,w,p,p,w,o,p,k
2274,e,t,b,s,s,g,w,p,w,o,p,k
2275,e,t,b,s,s,w,g,p,w,o,p,k
2276,e,t,b,s,s,w,p,p,w,o,p,n
2277,e,t,b,s,s,p,g,p,w,o,p,k
2278,e,t,b,s,s,w,p,p,w,o,p,n
2279,e,t,b,s,s,w,w,p,w,o,p,n
2280,e,t,b,s,s,g,w,p,w,o,p,n
2281,e,t,b,s,s,p,g,p,w,o,p,k
2282,e,t,b,s,s,p,g,p,w,o,p,n
2283,e,t,b,s,s,w,g,p,w,o,p,n
2284,e,t,b,s,s,w,g,p,w,o,p,k
2285,e,t,b,s,s,w,p,p,w,o,p,k
2286,p,e,b,s,s,w,w,p,w,o,p,k
2287,e,t,b,s,s,g,w,p,w,o,p,k
2288,e,t,b,s,s,w,g,p,w,o,p,n
2289,p,e,e,s,s,w,w,p,w,o,p,k
2290,e,t,b,s,s,w,g,p,w,o,p,k
2291,e,t,b,s,s,g,g,p,w,o,p,k
2292,e,t,b,s,s,g,g,p,w,o,p,k
2293,e,t,b,s,s,p,w,p,w,o,p,n
2294,e,t,b,s,s,w,g,p,w,o,p,k
2295,e,t,b,s,s,p,g,p,w,o,p,n
2296,e,t,e,s,s,w,w,p,w,o,e,k
2297,e,t,b,s,s,w,p,p,w,o,p,n
2298,e,t,e,s,f,w,w,p,w,o,e,n
2299,e,t,b,s,s,g,p,p,w,o,p,n
2300,e,t,b,s,s,p,p,p,w,o,p,k
2301,e,t,b,s,s,w,p,p,w,o,p,n
2302,e,t,b,s,s,g,p,p,w,o,p,k
2303,e,t,b,s,s,p,w,p,w,o,p,n
2304,e,t,b,s,s,p,w,p,w,o,p,k
2305,e,t,b,s,s,p,g,p,w,o,p,k
2306,e,t,b,s,s,p,p,p,w,o,p,n
2307,e,t,b,s,s,g,g,p,w,o,p,n
2308,e,t,b,s,s,w,w,p,w,o,p,k
2309,e,t,b,s,s,g,w,p,w,o,p,k
2310,e,t,b,s,s,p,w,p,w,o,p,n
2311,e,t,b,s,s,p,p,p,w,o,p,n
2312,e,t,b,s,s,g,g,p,w,o,p,k
2313,e,t,b,s,s,p,p,p,w,o,p,n
2314,e,t,b,s,s,p,p,p,w,o,p,n
2315,e,t,b,s,s,w,g,p,w,o,p,k
2316,e,t,b,s,s,p,g,p,w,o,p,k
2317,e,t,b,s,s,w,w,p,w,o,p,k
2318,e,t,b,s,s,w,p,p,w,o,p,k
2319,e,t,b,s,s,w,w,p,w,o,p,k
2320,e,t,b,s,s,p,w,p,w,o,p,n
2321,e,t,b,s,s,g,p,p,w,o,p,k
2322,e,t,b,s,s,p,p,p,w,o,p,k
2323,e,t,b,s,s,w,g,p,w,o,p,k
2324,e,t,b,s,s,w,p,p,w,o,p,k
2325,e,t,b,s,s,w,g,p,w,o,p,n
2326,e,t,b,s,s,p,p,p,w,o,p,k
2327,e,t,b,s,s,g,w,p,w,o,p,n
2328,e,t,b,s,s,p,p,p,w,o,p,n
2329,e,t,b,s,s,p,w,p,w,o,p,k
2330,e,t,b,s,s,p,w,p,w,o,p,k
2331,e,t,b,s,s,p,g,p,w,o,p,k
2332,e,t,b,s,s,g,p,p,w,o,p,k
2333,e,t,b,s,s,w,p,p,w,o,p,k
2334,e,t,b,s,s,w,g,p,w,o,p,n
2335,e,t,b,s,s,p,g,p,w,o,p,n
2336,e,t,b,s,s,g,g,p,w,o,p,n
2337,e,t,b,s,s,w,p,p,w,o,p,n
2338,e,t,b,s,s,w,p,p,w,o,p,n
2339,e,t,b,s,s,w,g,p,w,o,p,n
2340,e,t,b,s,s,p,p,p,w,o,p,n
2341,e,t,b,s,s,p,w,p,w,o,p,n
2342,e,t,b,s,s,w,p,p,w,o,p,k
2343,e,t,b,s,s,p,w,p,w,o,p,n
2344,e,t,b,s,s,w,w,p,w,o,p,n
2345,e,t,b,s,s,p,p,p,w,o,p,n
2346,e,t,b,s,s,g,p,p,w,o,p,k
2347,e,t,e,s,f,w,w,p,w,o,e,n
2348,e,t,b,s,s,g,g,p,w,o,p,n
2349,e,t,e,f,f,w,w,p,w,o,e,n
2350,e,t,b,s,s,g,w,p,w,o,p,n
2351,e,t,b,s,s,w,w,p,w,o,p,k
2352,p,e,e,s,s,w,w,p,w,o,p,n
2353,e,t,b,s,s,w,g,p,w,o,p,k
2354,e,t,b,s,s,w,w,p,w,o,p,k
2355,e,t,b,s,s,g,g,p,w,o,p,n
2356,e,t,b,s,s,p,g,p,w,o,p,k
2357,e,t,b,s,s,g,w,p,w,o,p,k
2358,e,t,b,s,s,p,g,p,w,o,p,n
2359,e,t,b,s,s,p,w,p,w,o,p,k
2360,e,t,b,s,s,p,g,p,w,o,p,n
2361,e,t,b,s,s,w,w,p,w,o,p,n
2362,e,t,b,s,s,g,w,p,w,o,p,k
2363,e,t,b,s,s,g,p,p,w,o,p,k
2364,e,t,b,s,s,w,p,p,w,o,p,k
2365,e,t,b,s,s,w,g,p,w,o,p,k
2366,e,t,b,s,s,p,g,p,w,o,p,k
2367,e,t,b,s,s,w,w,p,w,o,p,k
2368,e,t,e,s,s,w,w,p,w,o,e,n
2369,e,t,b,s,s,g,w,p,w,o,p,k
2370,e,t,b,s,s,g,g,p,w,o,p,k
2371,e,t,b,s,s,p,w,p,w,o,p,k
2372,e,t,b,s,s,g,g,p,w,o,p,n
2373,e,t,b,s,s,g,p,p,w,o,p,k
2374,e,t,b,s,s,w,p,p,w,o,p,n
2375,e,t,b,s,s,w,g,p,w,o,p,n
2376,p,e,e,s,s,w,w,p,w,o,p,n
2377,e,t,b,s,s,g,g,p,w,o,p,k
2378,e,t,e,s,s,w,w,p,w,o,e,k
2379,e,t,e,s,f,w,w,p,w,o,e,n
2380,e,t,b,s,s,p,g,p,w,o,p,k
2381,e,t,b,s,s,p,g,p,w,o,p,k
2382,e,t,b,s,s,g,g,p,w,o,p,k
2383,e,t,b,s,s,p,g,p,w,o,p,k
2384,e,t,b,s,s,w,g,p,w,o,p,k
2385,e,t,b,s,s,p,p,p,w,o,p,n
2386,p,e,b,k,k,n,n,p,w,o,l,h
2387,e,t,b,s,s,g,g,p,w,o,p,k
2388,e,t,e,s,s,w,w,p,w,o,e,k
2389,p,e,e,s,s,w,w,p,w,o,p,n
2390,e,t,b,s,s,p,p,p,w,o,p,n
2391,e,t,b,s,s,w,w,p,w,o,p,n
2392,e,t,b,s,s,g,p,p,w,o,p,k
2393,e,t,b,s,s,p,w,p,w,o,p,k
2394,e,t,b,s,s,p,p,p,w,o,p,k
2395,e,t,b,s,s,p,p,p,w,o,p,n
2396,e,t,b,s,s,g,w,p,w,o,p,k
2397,e,t,b,s,s,w,g,p,w,o,p,k
2398,e,t,b,s,s,g,p,p,w,o,p,n
2399,e,t,b,s,s,g,g,p,w,o,p,n
2400,e,t,b,s,s,w,w,p,w,o,p,k
2401,p,e,e,s,s,w,w,p,w,o,p,k
2402,e,t,b,s,s,w,w,p,w,o,p,k
2403,e,t,b,s,s,g,p,p,w,o,p,k
2404,e,t,b,s,s,w,p,p,w,o,p,k
2405,e,t,b,s,s,p,p,p,w,o,p,k
2406,e,t,b,s,s,w,w,p,w,o,p,n
2407,e,t,b,s,s,g,w,p,w,o,p,n
2408,e,t,b,s,s,w,w,p,w,o,p,n
2409,e,t,b,s,s,g,w,p,w,o,p,k
2410,e,t,b,s,s,p,g,p,w,o,p,n
2411,e,t,b,s,s,w,w,p,w,o,p,k
2412,e,t,b,s,s,w,p,p,w,o,p,n
2413,e,t,b,s,s,p,p,p,w,o,p,n
2414,e,t,b,s,s,p,p,p,w,o,p,k
2415,e,t,b,s,s,p,p,p,w,o,p,n
2416,e,t,b,s,s,p,p,p,w,o,p,k
2417,e,t,b,s,s,g,p,p,w,o,p,n
2418,e,t,b,s,s,g,w,p,w,o,p,k
2419,e,t,b,s,s,p,g,p,w,o,p,k
2420,e,t,b,s,s,p,g,p,w,o,p,k
2421,e,t,b,s,s,p,g,p,w,o,p,n
2422,e,t,b,s,s,g,w,p,w,o,p,n
2423,e,t,b,s,s,g,p,p,w,o,p,k
2424,e,t,b,s,s,p,p,p,w,o,p,n
2425,e,t,b,s,s,w,w,p,w,o,p,n
2426,e,t,b,s,s,g,g,p,w,o,p,n
2427,p,e,b,s,s,w,w,p,w,o,p,k
2428,e,t,b,s,s,p,p,p,w,o,p,n
2429,e,t,b,s,s,p,g,p,w,o,p,k
2430,e,t,b,s,s,p,p,p,w,o,p,k
2431,e,t,b,s,s,p,g,p,w,o,p,n
2432,e,t,b,s,s,w,g,p,w,o,p,k
2433,e,t,b,s,s,w,g,p,w,o,p,n
2434,e,t,b,s,s,p,w,p,w,o,p,n
2435,e,t,b,s,s,g,w,p,w,o,p,k
2436,e,t,b,s,s,p,g,p,w,o,p,n
2437,e,t,b,s,s,w,g,p,w,o,p,n
2438,e,t,b,s,s,w,g,p,w,o,p,n
2439,e,t,b,s,s,p,g,p,w,o,p,k
2440,e,t,b,s,s,g,w,p,w,o,p,k
2441,e,t,b,s,s,w,w,p,w,o,p,n
2442,e,t,b,s,s,p,p,p,w,o,p,k
2443,e,t,b,s,s,p,w,p,w,o,p,k
2444,p,e,b,k,k,b,b,p,w,o,l,h
2445,e,t,b,s,s,w,p,p,w,o,p,k
2446,e,t,b,s,s,g,p,p,w,o,p,n
2447,e,t,b,s,s,p,g,p,w,o,p,k
2448,e,t,b,s,s,w,w,p,w,o,p,n
2449,e,t,b,s,s,p,w,p,w,o,p,k
2450,e,t,b,s,s,w,w,p,w,o,p,k
2451,e,t,b,s,s,p,w,p,w,o,p,n
2452,e,t,b,s,s,p,p,p,w,o,p,n
2453,e,t,e,s,f,w,w,p,w,o,e,n
2454,e,t,b,s,s,w,w,p,w,o,p,k
2455,e,t,b,s,s,w,p,p,w,o,p,k
2456,e,t,b,s,s,p,p,p,w,o,p,k
2457,e,t,b,s,s,g,w,p,w,o,p,n
2458,e,t,b,s,s,w,w,p,w,o,p,n
2459,e,t,b,s,s,g,g,p,w,o,p,k
2460,e,t,b,s,s,w,p,p,w,o,p,n
2461,e,t,b,s,s,w,p,p,w,o,p,k
2462,e,t,b,s,s,w,w,p,w,o,p,k
2463,e,t,b,s,s,g,w,p,w,o,p,k
2464,e,t,b,s,s,w,p,p,w,o,p,k
2465,e,t,b,s,s,p,w,p,w,o,p,n
2466,e,t,b,s,s,g,g,p,w,o,p,k
2467,e,t,b,s,s,g,p,p,w,o,p,n
2468,e,t,b,s,s,p,w,p,w,o,p,k
2469,e,t,b,s,s,p,p,p,w,o,p,k
2470,e,t,b,s,s,g,p,p,w,o,p,k
2471,e,t,b,s,s,w,g,p,w,o,p,k
2472,e,t,b,s,s,w,g,p,w,o,p,n
2473,e,t,b,s,s,g,g,p,w,o,p,k
2474,e,t,b,s,s,p,w,p,w,o,p,n
2475,e,t,b,s,s,w,p,p,w,o,p,n
2476,e,t,b,s,s,w,p,p,w,o,p,n
